env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time,most_used_template,learned_templates_count,total_templates
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,2.392591714859009,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7800836563110352,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7785170078277588,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7841331958770752,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.759591817855835,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.752547025680542,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7524797916412354,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7471606731414795,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7342333793640137,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,0,23,0.7595334053039551,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.761420726776123,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7836380004882812,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7527568340301514,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7494590282440186,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7337663173675537,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7527801990509033,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7452895641326904,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7363202571868896,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7325162887573242,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,1,23,0.7284784317016602,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7430086135864258,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.74117112159729,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7376053333282471,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7338590621948242,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7327389717102051,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7324531078338623,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7354578971862793,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7353062629699707,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7385818958282471,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,2,2,23,0.7513861656188965,Direct Navigation,0,2
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7443914413452148,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.742591381072998,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7387723922729492,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7642979621887207,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7407417297363281,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7407402992248535,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7582521438598633,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7481558322906494,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.7429380416870117,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,0,23,0.74420166015625,Direct Navigation,0,3
