model,env,buffer_size,history_window,success,steps,reward,tokens,time
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,0,1.0,11.0,0.961328125,23.0,0.9240871667861938
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,1,1.0,11.0,0.961328125,23.0,0.7476425647735596
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,2,1.0,11.0,0.961328125,23.0,0.7381568431854248
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,0,1.0,11.0,0.961328125,23.0,0.7465082883834839
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,1,1.0,11.0,0.961328125,23.0,0.7293390274047852
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,2,1.0,11.0,0.961328125,23.0,0.7317890882492065
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,0,1.0,11.0,0.961328125,23.0,0.730653953552246
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,1,1.0,11.0,0.961328125,23.0,0.727321195602417
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,5,2,1.0,11.0,0.961328125,23.0,0.7289444923400878
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,2,0,0.2,79.7,0.1897222222222222,208.7,27.423649764060976
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,2,1,0.0,100.0,0.0,292.2,9.366721534729004
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,2,2,0.0,100.0,0.0,289.2,9.28465976715088
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,3,0,0.2,79.7,0.1897222222222222,207.8,27.651907539367677
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,3,1,0.0,100.0,0.0,292.2,9.331627297401429
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,3,2,0.0,100.0,0.0,289.2,9.304449796676636
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,5,0,0.2,79.7,0.1897222222222222,205.1,27.422024655342103
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,5,1,0.0,100.0,0.0,292.2,9.322974371910096
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaCrossingS9N2-v0,5,2,0.0,100.0,0.0,289.2,9.305340886116028
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS6-v0,2,0,0.0,100.0,0.0,297.6,20.453544855117798
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS6-v0,2,1,0.0,100.0,0.0,299.9,9.55293893814087
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS6-v0,2,2,0.0,100.0,0.0,300.0,9.547878861427307
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS6-v0,3,0,0.0,100.0,0.0,298.4,20.522753405570985
