name,status,backbone,lr,layers,dropout,frames,bs,epochs,weight_decay,patience,train_acc,val_acc,val_auc,val_loss,train_loss
bold-stoat-736,RUNNING,siglip,1e-05,,,8,8,5,,,,,,, 
brawny-crow-54,FINISHED,siglip,1e-05,,,8,8,5,,,0.8686,0.80,,0.2879,0.2508
capable-bug-105,FINISHED,siglip,1e-04,,,8,8,5,,,0.8905,0.81,,0.5119,0.2213
legendary-bass-90,FINISHED,siglip,1e-05,,,8,8,5,,,0.8568,0.82,,0.2841,0.2626
abundant-sponge-317,FINISHED,siglip,1e-05,4,0.3,16,8,5,0.01,,0.8641,0.82,,0.2632,0.2583
awesome-pig-472,FINISHED,siglip,1e-05,4,0.3,16,8,5,0.01,,0.8641,0.82,0.9151,0.2632,0.2583
mysterious-fly-587,FINISHED,siglip,1e-05,4,0.3,16,8,5,0.01,,0.8641,0.82,0.9151,0.2632,0.2583
adorable-stag-872,FINISHED,siglip,1e-05,8,0.3,8,8,5,0.01,,0.8604,0.81,0.9096,0.2975,0.2506
selective-bee-645,FINISHED,siglip,1e-05,14,0.3,8,8,5,0.01,,0.8604,0.81,0.8973,0.3536,0.2477
bustling-colt-96,RUNNING,dinov2,1e-05,4,0.3,8,8,5,0.01,,0.6250,0.73,0.7865,0.3726,0.4405
sassy-bear-633,RUNNING,dinov2,1e-05,4,0.3,8,8,5,0.01,,0.6250,0.73,0.7865,0.3726,0.4405
efficient-steed-612,RUNNING,siglip,3e-05,4,0.3,8,8,10,0.01,,,,,,
caring-ape-677,FINISHED,siglip,3e-05,4,0.3,8,8,10,0.01,,0.9133,0.82,0.9236,0.7206,0.2331
beautiful-rook-367,RUNNING,dinov2,1e-05,4,0.3,8,8,10,0.01,,0.8832,0.74,0.8205,0.7108,0.3085
overjoyed-ram-23,FINISHED,siglip,3e-05,4,0.4,8,8,10,0.01,,0.9124,0.79,0.9211,0.7109,0.2438
illustrious-ox-664,RUNNING,siglip,3e-05,2,0.4,8,8,10,0.01,,0.8932,0.80,0.9087,0.6568,0.2858
intelligent-deer-165,RUNNING,siglip,3e-05,4,0.4,16,8,10,0.01,,0.8896,0.78,0.9325,0.6818,0.2951
unleashed-newt-909,FINISHED,siglip,3e-05,4,0.4,8,16,10,0.01,,0.9145,0.80,0.9096,0.5765,0.2374
respected-loon-852,FINISHED,siglip,3e-05,4,0.3,8,8,10,0.01,3,0.9133,0.82,0.9236,0.7206,0.2331
carefree-calf-503,RUNNING,siglip,3e-05,4,0.3,8,8,10,0.01,3,0.9133,0.79,0.9253,0.8463,0.2525
upbeat-perch-998,FINISHED,siglip,3e-05,4,0.3,8,8,15,0.01,3,0.8859,0.72,0.9283,1.0125,0.3062
